iter	Passed	Remaining
0	133	133017
1	133	66802
2	134	44723
3	135	33676
4	136	27092
5	136	22683
6	137	19519
7	138	17144
8	138	15297
9	139	13817
10	140	12608
11	140	11597
12	141	10742
13	142	10011
14	142	9384
15	143	8826
16	144	8345
17	144	7908
18	145	7524
19	146	7179
20	147	6868
21	148	6582
22	148	6308
23	149	6065
24	149	5840
25	150	5633
26	151	5448
27	151	5266
28	152	5101
29	152	4946
30	153	4801
31	154	4666
32	154	4538
33	155	4417
34	156	4303
35	156	4195
36	157	4093
37	158	4002
38	158	3915
39	159	3832
40	160	3762
41	161	3690
42	162	3611
43	163	3542
44	163	3473
45	164	3402
46	164	3338
47	165	3279
48	166	3222
49	166	3166
50	167	3112
51	167	3055
52	168	3003
53	168	2955
54	169	2909
55	169	2864
56	170	2821
57	171	2779
58	171	2738
59	172	2699
60	172	2662
61	173	2626
62	174	2590
63	174	2555
64	175	2522
65	175	2490
66	176	2459
67	177	2432
68	178	2402
69	178	2373
70	179	2345
71	180	2320
72	180	2294
73	181	2268
74	181	2243
75	182	2219
76	183	2194
77	183	2171
78	184	2148
79	184	2126
80	185	2104
81	186	2083
82	186	2063
83	187	2043
84	188	2023
85	188	2004
86	189	1985
87	189	1967
88	190	1948
89	191	1931
90	191	1913
91	192	1896
92	192	1880
93	193	1863
94	194	1849
95	194	1834
96	195	1816
97	195	1801
98	196	1786
99	196	1772
100	197	1756
101	197	1742
102	198	1728
103	199	1715
104	199	1702
105	200	1689
106	200	1677
107	201	1664
108	202	1652
109	202	1640
110	203	1628
111	203	1617
112	204	1603
113	204	1592
114	205	1581
115	206	1570
116	206	1559
117	207	1549
118	207	1538
119	208	1529
120	209	1519
121	209	1507
122	210	1497
123	210	1488
124	211	1478
125	211	1469
126	212	1460
127	212	1450
128	213	1441
129	214	1433
130	214	1424
131	215	1416
132	215	1407
133	216	1399
134	217	1391
135	217	1383
136	218	1375
137	218	1367
138	219	1358
139	219	1351
140	220	1343
141	221	1336
142	221	1328
143	222	1321
144	223	1315
145	223	1308
146	224	1301
147	224	1294
148	225	1288
149	226	1281
150	226	1275
151	227	1269
152	228	1263
153	228	1257
154	229	1251
155	230	1245
156	230	1239
157	231	1233
158	232	1227
159	232	1222
160	233	1216
161	234	1210
162	234	1205
163	235	1199
164	235	1194
165	236	1188
166	236	1181
167	237	1177
168	238	1172
169	239	1167
170	239	1162
171	240	1157
172	241	1152
173	241	1147
174	242	1142
175	242	1137
176	243	1132
177	244	1127
178	244	1122
179	245	1117
180	245	1112
181	246	1108
182	247	1103
183	247	1098
184	248	1093
185	248	1089
186	249	1084
187	250	1080
188	250	1075
189	251	1071
190	252	1067
191	252	1063
192	253	1059
193	253	1054
194	254	1050
195	255	1046
196	255	1042
197	256	1037
198	256	1033
199	257	1029
200	257	1025
201	258	1021
202	259	1017
203	259	1013
204	260	1009
205	260	1005
206	261	1002
207	262	998
208	262	994
209	263	990
210	263	987
211	264	983
212	265	979
213	265	976
214	266	973
215	267	970
216	267	966
217	268	963
218	269	959
219	269	955
220	270	952
221	270	949
222	271	945
223	271	942
224	272	938
225	273	935
226	273	932
227	274	928
228	274	925
229	275	922
230	276	919
231	276	916
232	277	912
233	277	909
234	278	906
235	279	903
236	279	900
237	280	896
238	280	893
239	281	891
240	282	888
241	282	885
242	283	882
243	283	879
244	284	876
245	285	873
246	285	870
247	286	868
248	286	865
249	287	862
250	288	859
251	288	856
252	289	854
253	289	851
254	290	848
255	291	845
256	291	843
257	292	840
258	292	837
259	293	835
260	294	832
261	294	829
262	295	827
263	295	825
264	296	823
265	297	820
266	298	818
267	298	816
268	299	814
269	300	812
270	301	809
271	301	807
272	302	804
273	302	802
274	303	799
275	304	797
276	304	795
277	305	792
278	305	790
279	306	787
280	306	785
281	307	783
282	308	780
283	308	778
284	309	776
285	310	774
286	310	772
287	311	769
288	312	767
289	312	765
290	313	763
291	313	760
292	314	758
293	314	756
294	315	754
295	316	751
296	316	749
297	317	747
298	317	745
299	318	743
300	319	741
301	319	738
302	320	736
303	320	734
304	321	732
305	322	730
306	322	728
307	323	726
308	323	724
309	324	722
310	325	720
311	325	718
312	326	716
313	327	714
314	327	712
315	328	710
316	328	708
317	329	706
318	330	704
319	330	702
320	331	700
321	331	698
322	332	696
323	333	694
324	333	693
325	334	691
326	334	689
327	335	687
328	336	685
329	336	683
330	337	681
331	338	680
332	338	678
333	339	676
334	339	674
335	340	673
336	341	671
337	341	669
338	342	667
339	343	665
340	343	664
341	344	662
342	344	660
343	345	658
344	345	656
345	346	655
346	347	653
347	347	651
348	348	649
349	348	648
350	349	646
351	350	644
352	350	642
353	351	641
354	352	639
355	353	638
356	353	637
357	354	635
358	355	633
359	355	632
360	356	630
361	356	628
362	357	627
363	358	625
364	358	623
365	359	622
366	359	620
367	360	619
368	361	617
369	361	615
370	362	614
371	362	612
372	363	610
373	364	609
374	364	607
375	365	606
376	365	604
377	366	603
378	367	601
379	367	600
380	368	598
381	369	597
382	369	595
383	370	594
384	370	592
385	371	590
386	372	589
387	372	587
388	373	586
389	374	584
390	374	583
391	375	581
392	375	580
393	376	578
394	377	577
395	377	575
396	378	574
397	378	573
398	379	571
399	380	570
400	380	568
401	381	567
402	382	565
403	382	564
404	383	563
405	383	561
406	384	560
407	385	558
408	385	557
409	386	555
410	386	554
411	387	553
412	388	551
413	388	550
414	389	548
415	389	547
416	390	545
417	391	544
418	391	543
419	392	541
420	392	540
421	393	539
422	394	537
423	395	536
424	395	535
425	396	534
426	397	533
427	397	531
428	398	530
429	399	529
430	399	528
431	400	526
432	401	525
433	402	524
434	403	523
435	403	522
436	404	521
437	405	520
438	407	520
439	407	519
440	408	517
441	409	517
442	411	517
443	412	516
444	413	515
445	414	514
446	415	513
447	416	512
448	416	511
449	417	510
450	418	509
451	419	508
452	420	507
453	421	506
454	422	505
455	422	504
456	423	503
457	424	502
458	425	501
459	426	500
460	427	499
461	427	498
462	428	497
463	429	496
464	430	494
465	430	493
466	431	492
467	432	491
468	433	490
469	434	489
470	434	488
471	435	487
